Location,Distance (km),A (Pa),Source
"Toledo, WA",54,765,Reed 1987
"Olympia, WA",102,491,Reed 1987
"Astoria, OR",117,253,Reed 1987
"Stampede Pass, WA",130,345,Reed 1987
"Seattle, SEA-TAC",140,394,Reed 1987
"Hoquiam, WA",153,266,Reed 1987
"Seattle, WSFO",161,321,Reed 1987
"Quillayute, WA",256,200,Reed 1987
"Bellingham, WA",300,194,Reed 1987
"Berkeley, CA",925,35,Reed 1987
"Boulder, CO",1530,46,Reed 1987
"Washington, DC",3700,21,Reed 1987
"Palisades, NY",3950,20,Reed 1987
"Honolulu, HI",4156,17,Reed 1987
"Kushiro, Japan",6945,14,Reed 1987
"Akita, Japan",7453,3,Reed 1987
"Tokyo, Japan",7778,10,Reed 1987
"Wajima, Japan",7833,11,Reed 1987
"DeBilt, Netherlands",7982,40,Reed 1987
"Hamburg, FRG",8000,14,Reed 1987
"Buchholz, FRG",8010,15,Reed 1987
"Tonago, Japan",8211,11,Reed 1987
"Berkeley, CA",39106,13,Reed 1987
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
